Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"EnBW International Finance B.V. 1,875% 18/33",A2RTNC,"87,74",21.01.25 12:58,0,"-0,11","1,88%",Euro,"3,34%"
"Hera S.p.A. 0,875% 19/27",A2R4JM,"94,88",21.01.25 12:58,0,"-0,05","0,88%",Euro,-
A2A S.p.A. 1% 19/29,A2R43M,"91,28",21.01.25 12:58,0,"-0,20","1,00%",Euro,-
"Asian Development Bank (ADB) 0,625% 19/26",A2R9DH,"93,63",21.01.25 09:21,0,"0,00","0,63%",Britische Pfund,-
"Asian Development Bank (ADB) 0,000% 19/29",A2R9GZ,"88,37",21.01.25 09:21,0,"-0,03",-,Euro,"2,57%"
"Eurogrid GmbH 1,113% 20/32",A289DG,"84,98",21.01.25 11:20,0,"0,02","1,11%",Euro,-
"Ungarn, Republik 1,75% 20/35",A28X86,"77,73",21.01.25 11:20,0,"0,26","1,75%",Euro,-
International Bank for Reconstruction and Development 4% 20/25,A28YNN,"39,58",26.08.22 22:57,0,"0,00","4,00%","Rubel (Russische Föderation, Conv.-Rate 1000:1)",-
"European Investment Bank (EIB) 0,01% 20/35",A28Y4M,"73,05",21.01.25 17:05,0,"0,11","0,01%",Euro,-
"Landwirtschaftliche Rentenbank 0,000% 20/27",A2LQQZ,"93,63",21.01.25 11:20,0,"-0,01",-,Euro,-
"Instituto de Credito Oficial 0,000% 20/26",A28395,"97,00",21.01.25 09:21,0,"0,00",-,Euro,-
"Stora Enso Oyj 0,625% 20/30",A285YE,"84,74",21.01.25 09:21,0,"0,31","0,63%",Euro,-
"International Bank for Reconstruction and Development 5,75% 21/28",A287QG,"82,58",21.01.25 11:20,0,"0,00","5,75%",Real (Brasilien),-
"International Bank for Reconstruction and Development 4,5% 21/26",A287WM,"97,00",21.01.25 17:20,0,"0,14","4,50%",Südafrikanische Rand,-
"Orsted A/S 2,5%",A3KLYP,"71,53",21.01.25 11:20,0,"-1,92","2,50%",Britische Pfund,-
"International Bank for Reconstruction and Development 12,25% 21/26",A28Z3H,"71,00",21.01.25 11:20,0,"0,00","12,25%",Türkische Lira,-
